Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate,,,,,State,Mean Death ,Mean Age Death Rate,,,,,,Mean,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Iowa,1123,35.2,,,,,Iowa,1284.368421,37.76315789,,,,,2013,2559.941176,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Kansas,1126,40.7,,,,,Kansas,1257.789474,42.57368421,,,,,2014,2665.254902,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Kentucky,1730,43.3,,,,,Kentucky,2458.368421,57.18421053,,,,,2015,2873.941176,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Louisiana,1940,44.7,,,,,Louisiana,2331.894737,51.78947368,,,,,2016,3164.196078,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Maine,458,34.9,,,,,Maine,609.3684211,42.63157895,,,,,2017,3332.078431,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Maryland,1296,25.9,,,,,Maryland,1572.842105,27.12631579,,,,,,,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Massachusetts,1303,19.6,,,,,Massachusetts,2166.473684,30.48947368,,,,,,,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Michigan,3188,32.8,,,,,Michigan,3870.947368,37.63157895,,,,,,Median,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Minnesota,1772,35.8,,,,,Minnesota,2132.263158,38.02105263,,,,,Year Date,Median death Amounted in terms of accidents in United States (all states combined) per year,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Mississippi,1642,58.9,,,,,Mississippi,1716.473684,58.71052632,,,,,1999,1519,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Missouri,2465,43.2,,,,,Missouri,2957.263158,48.36315789,,,,,2000,1566,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Montana,461,50.3,,,,,Montana,562.2631579,54.85789474,,,,,2001,1571,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nebraska,668,37.3,,,,,Nebraska,717.6842105,37.15263158,,,,,2002,1580,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nevada,710,38.5,,,,,Nevada,1080.947368,42.8,,,,,2003,1656,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New Hampshire,329,27.5,,,,,New Hampshire,541.5263158,39.75263158,,,,,2004,1703,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New Jersey,2227,26.2,,,,,New Jersey,2726.052632,29.83157895,,,,,2005,1922,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New Mexico,969,55.9,,,,,New Mexico,1271.315789,64.56842105,,,,,2006,1917,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New York,4797,25.2,,,,,New York,5433.952381,29.01428571,,,,,2007,2056,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Carolina,3290,42.1,,,,,North Carolina,3696.210526,44.92105263,,,,,2008,2010,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Dakota,267,38.4,,,,,North Dakota,1156.631579,43.12105263,,,,,2009,1875,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Ohio,3630,31.8,,,,,Ohio,4516.157895,42.28947368,,,,,2010,1999,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Oklahoma,1609,46.3,,,,,Oklahoma,2062.157895,54.42631579,,,,,2011,2091,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Oregon,1199,34.7,,,,,Oregon,2340.315789,42.16842105,,,,,2012,2195,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Pennsylvania,4614,35.3,,,,,Pennsylvania,5067.631579,42.70526316,,,,,2013,2287,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Rhode Island,243,21.5,,,,,Rhode Island,700.4736842,37.91578947,,,,,2014,2344,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,South Carolina,1901,49.2,,,,,South Carolina,2037.052632,50.34210526,,,,,2015,2422,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,South Dakota,351,44.8,,,,,South Dakota,812.2631579,48.06842105,,,,,2016,2592,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Tennessee,2677,47.8,,,,,Tennessee,4008.421053,50.53157895,,,,,2017,2563,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Texas,7227,37.6,,,,,Texas,8035.789474,39.74736842,,,,,,,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Utah,650,33.4,,,,,Utah,816,39.78947368,,,,,,,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Vermont,209,34.2,,,,,Vermont,656.5789474,42.35263158,,,,,,Mode,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Virginia,2214,33.2,,,,,Virginia,2785.789474,36.24210526,,,,,Year Date,Mode death Amounted in terms of accidents in United States (all states combined) per year,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Washington,1914,33.3,,,,,Washington,2462.631579,44.34736842,,,,,1999,2214,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,West Virginia,798,42,,,,,West Virginia,1406.368421,59.41052632,,,,,2000,343,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wisconsin,1955,35.6,,,,,Wisconsin,2296.894737,43.85263158,,,,,2001,#N/A,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wyoming,258,52.8,,,,,Wyoming,305.5294118,56.61176471,,,,,2002,#N/A,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alabama,2093,47,,,,,,,,,,,,2003,#N/A,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alaska,343,64.5,,,,,,,,,,,,2004,#N/A,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Arizona,2326,46.3,,,,,,,,,,,,2005,#N/A,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Arkansas,1267,46.5,,,,,,,,,,,,2006,#N/A,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,California,8577,26.5,,,,,,,,,,,,2007,#N/A,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Colorado,1702,42.6,,,,,,,,,,,,2008,#N/A,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Connecticut,1175,32.8,,,,,,,,,,,,2009,#N/A,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Delaware,290,37.5,,,,,,,,,,,,2010,#N/A,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,District of Columbia,204,35.7,,,,,,,,,,,,2011,#N/A,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Florida,6267,37.3,,,,,,,,,,,,2012,#N/A,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Georgia,3103,40.8,,,,,,,,,,,,2013,#N/A,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Hawaii,343,28.2,,,,,,,,,,,,2014,#N/A,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Idaho,518,41.5,,,,,,,,,,,,2015,#N/A,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Illinois,4041,32.8,,,,,,,,,,,,2016,371,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Indiana,2139,35.4,,,,,,,,,,,,2017,#N/A,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Iowa,1070,33.4,,,,,,,,,,,,,,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Kansas,1054,38,,,,,,,,,,,,,,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Kentucky,1838,45.7,,,,,,,,,,,,,,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Louisiana,2006,45.9,,,,,,,,,,,,,,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Maine,407,30.9,,,,,,,,,,,,,,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Maryland,1182,23.3,,,,,,,,,,,,,Standard Deviation,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Massachusetts,1357,20.2,,,,,,,,,,,,Year Date,Average death Amounted in terms of accidents in United States (all states combined) per year,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Michigan,3220,32.9,,,,,,,,,,,,1999,1851.259233,3427160.748
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Minnesota,1711,34.3,,,,,,,,,,,,2000,1811.406151,3281192.244
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Mississippi,1653,58.9,,,,,,,,,,,,2001,1872.4825,3506190.713
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Missouri,2398,41.9,,,,,,,,,,,,2002,2057.245678,4232259.78
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Montana,495,53.9,,,,,,,,,,,,2003,2123.44658,4509025.378
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nebraska,640,35.3,,,,,,,,,,,,2004,2162.739721,4677443.101
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nevada,730,38.7,,,,,,,,,,,,2005,2270.741954,5156269.022
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New Hampshire,321,26.3,,,,,,,,,,,,2006,2338.307904,5467683.854
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New Jersey,2284,26.7,,,,,,,,,,,,2007,2388.403827,5704472.841
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New Mexico,995,56.8,,,,,,,,,,,,2008,2297.763013,5279714.864
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New York,4244,22,,,,,,,,,,,,2009,2272.690168,5165120.6
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Carolina,3525,44.7,,,,,,,,,,,,2010,2269.115566,5148885.452
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Dakota,248,35.3,,,,,,,,,,,,2011,2336.939004,5461283.908
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Ohio,3492,30.5,,,,,,,,,,,,2012,2343.815104,5493469.242
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Oklahoma,1566,44.9,,,,,,,,,,,,2013,2402.674505,5772844.777
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Oregon,1248,35.8,,,,,,,,,,,,2014,2506.227905,6281178.312
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Pennsylvania,4583,35.2,,,,,,,,,,,,2015,2694.254727,7259008.534
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Rhode Island,235,20.5,,,,,,,,,,,,2016,3008.05486,9048394.041
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,South Carolina,1974,50,,,,,,,,,,,,2017,3195.525471,10211383.04
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,South Dakota,321,41.2,,,,,,,,,,,,,,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Tennessee,2743,48.5,,,,,,,,,,,,,,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Texas,7407,37.6,,,,,,,,,,,,,,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Utah,665,34.2,,,,,,,,,,,,,,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Vermont,234,38.1,,,,,,,,,,,,,,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Virginia,2396,35.4,,,,,,,,,,,,,,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Washington,2049,35.5,,,,,,,,,,,,,,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,West Virginia,817,43.2,,,,,,,,,,,,,,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wisconsin,2159,38.9,,,,,,,,,,,,,,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wyoming,245,50.8,,,,,,,,,,,,,,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alabama,2211,49.5,,,,,,,,,,,,,,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alaska,345,60.5,,,,,,,,,,,,,,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Arizona,2475,47.6,,,,,,,,,,,,,,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Arkansas,1277,46.5,,,,,,,,,,,,Row Labels,Sum of Mean Death ,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,California,8132,24.5,,,,,,,,,,,,Alabama,2414.263158,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Colorado,1720,41.6,,,,,,,,,,,,Alaska,354.9473684,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Connecticut,1056,29.5,,,,,,,,,,,,Arizona,3060.210526,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Delaware,290,36.6,,,,,,,,,,,,Arkansas,1422.473684,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,District of Columbia,223,38.4,,,,,,,,,,,,California,10945.31579,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Florida,6969,40.5,,,,,,,,,,,,Colorado,2159.210526,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Georgia,3396,43.8,,,,,,,,,,,,Connecticut,1390.736842,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Hawaii,372,29.8,,,,,,,,,,,,Delaware,358.6842105,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Idaho,568,44.2,,,,,,,,,,,,District of Columbia,225.5789474,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Illinois,4077,32.8,,,,,,,,,,,,Florida,8854.526316,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Indiana,2185,35.8,,,,,,,,,,,,Georgia,3792.210526,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Iowa,1051,32.5,,,,,,,,,,,,Hawaii,444.3684211,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Kansas,1156,41.4,,,,,,,,,,,,Idaho,674.4736842,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Kentucky,1990,49.1,,,,,,,,,,,,Illinois,4415.894737,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Louisiana,2029,46.5,,,,,,,,,,,,Indiana,2662.052632,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Maine,490,36.3,,,,,,,,,,,,Iowa,1284.368421,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Maryland,1339,25.8,,,,,,,,,,,,Kansas,1257.789474,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Massachusetts,1506,22.2,,,,,,,,,,,,Kentucky,2458.368421,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Michigan,3291,33.3,,,,,,,,,,,,Louisiana,2331.894737,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Minnesota,1797,35.4,,,,,,,,,,,,Maine,609.3684211,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Mississippi,1571,56,,,,,,,,,,,,Maryland,1572.842105,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Missouri,2455,42.5,,,,,,,,,,,,Massachusetts,2166.473684,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Montana,468,50.1,,,,,,,,,,,,Michigan,3870.947368,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nebraska,633,34.8,,,,,,,,,,,,Minnesota,2132.263158,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nevada,739,37,,,,,,,,,,,,Mississippi,1716.473684,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New Hampshire,374,30.3,,,,,,,,,,,,Missouri,2957.263158,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New Jersey,2405,27.8,,,,,,,,,,,,Montana,562.2631579,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New Mexico,1020,57.7,,,,,,,,,,,,Nebraska,717.6842105,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New York,4982,25.7,,,,,,,,,,,,Nevada,1080.947368,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Carolina,3438,42.6,,,,,,,,,,,,New Hampshire,541.5263158,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Dakota,238,33.9,,,,,,,,,,,,New Jersey,2726.052632,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Ohio,3857,33.4,,,,,,,,,,,,New Mexico,1271.315789,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Oklahoma,1700,48.5,,,,,,,,,,,,New York,5433.952381,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Oregon,1313,36.9,,,,,,,,,,,,North Carolina,3696.210526,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Pennsylvania,4552,34.6,,,,,,,,,,,,North Dakota,1156.631579,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Rhode Island,293,25.3,,,,,,,,,,,,Ohio,4516.157895,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,South Carolina,1960,49,,,,,,,,,,,,Oklahoma,2062.157895,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,South Dakota,382,47.3,,,,,,,,,,,,Oregon,2340.315789,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Tennessee,2709,47.3,,,,,,,,,,,,Pennsylvania,5067.631579,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Texas,7920,39.7,,,,,,,,,,,,Rhode Island,700.4736842,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Utah,643,32.5,,,,,,,,,,,,South Carolina,2037.052632,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Vermont,230,36.8,,,,,,,,,,,,South Dakota,812.2631579,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Virginia,2432,35.2,,,,,,,,,,,,Tennessee,4008.421053,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Washington,2072,35.2,,,,,,,,,,,,Texas,8035.789474,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,West Virginia,834,44.7,,,,,,,,,,,,Utah,816,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wisconsin,2100,37.5,,,,,,,,,,,,Vermont,656.5789474,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wyoming,272,55.5,,,,,,,,,,,,Virginia,2785.789474,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alabama,2228,49.6,,,,,,,,,,,,Washington,2462.631579,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alaska,346,59.2,,,,,,,,,,,,West Virginia,1406.368421,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Arizona,2577,48.6,,,,,,,,,,,,Wisconsin,2296.894737,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Arkansas,1311,47.6,,,,,,,,,,,,Wyoming,305.5294118,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,California,10107,30.1,,,,,,,,,,,,Grand Total,123029.6397,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Colorado,1812,43.1,,,,,,,,,,,,,,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Connecticut,1182,32.5,,,,,,,,,,,,,,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Delaware,292,36.4,,,,,,,,,,,,,,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,District of Columbia,200,34.6,,,,,,,,,,,,,,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Florida,7396,42,,,,,,,,,,,,,,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Georgia,3333,42.3,,,,,,,,,,,,,,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Hawaii,393,30.9,,,,,,,,,,,,,,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Idaho,611,47.1,,,,,,,,,,,,,,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Illinois,4222,33.8,,,,,,,,,,,,,,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Indiana,2148,34.9,,,,,,,,,,,,,,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Iowa,1093,33.6,,,,,,,,,,,,,,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Kansas,1139,40.8,,,,,,,,,,,,,,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Kentucky,2090,51.3,,,,,,,,,,,,,,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Louisiana,2115,48.1,,,,,,,,,,,,,,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Maine,511,38.1,,,,,,,,,,,,,,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Maryland,1332,25.2,,,,,,,,,,,,,,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Massachusetts,1413,20.7,,,,,,,,,,,,,,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Michigan,3285,33,,,,,,,,,,,,,,
